"";"ent";"con";"n_ren";"p3";"sex";"anios_esc";"fac_tri.x";"ingocup";"e_con";"rama";"c_ocu11c";"tue2";"eda7c";"pre_asa";"medica5c";"ent.1";"hrsocup";"per.x"
"1";15;40005;1;2253;2;16;1318;0;6;3;1;1;4;1;3;15;40;120
"2";15;40024;4;2261;1;17;4235;0;6;1;1;2;3;0;1;15;0;120
"3";15;40033;1;2644;1;9;1770;0;5;4;5;2;6;2;1;15;40;120
"4";15;40045;1;2644;1;12;2071;6450;1;4;5;5;4;0;1;15;0;120
"5";15;40054;2;2644;1;6;2570;0;6;4;5;5;2;0;1;15;40;120
"6";15;40054;1;2271;1;16;2570;0;1;4;1;5;5;0;1;15;32;120
"7";15;40066;1;1512;1;16;2659;0;5;4;4;1;4;1;3;15;45;120
"8";15;40086;1;2271;2;15;1662;4800;6;4;1;4;2;1;3;15;20;120
"9";15;40090;4;2621;2;15;1670;0;6;3;1;1;2;1;3;15;45;120
"10";15;40093;1;1621;1;16;2248;12000;5;4;4;1;3;1;3;15;54;120
"11";15;40096;1;2643;1;12;2137;10000;2;4;1;1;5;1;3;15;45;120
"12";15;40096;4;2271;2;16;2137;0;6;4;1;1;2;1;3;15;45;120
"13";15;40099;3;2271;1;16;1801;16000;6;2;1;1;2;1;3;15;50;120
"14";15;40112;1;2621;1;12;2464;17200;5;2;1;1;3;1;3;15;40;120
"15";15;40122;3;2271;2;16;1827;0;6;4;1;1;2;1;3;15;45;120
"16";15;40126;1;2644;1;13;1760;0;1;5;5;4;3;1;3;15;40;120
"17";15;40127;7;2271;1;16;1699;0;5;4;1;1;4;1;3;15;40;120
"18";15;40134;2;2271;1;16;1773;6000;6;4;1;1;2;1;2;15;35;120
"19";15;40139;1;1621;1;16;3007;14000;1;3;4;1;3;1;3;15;51;120
"20";15;40152;7;2643;2;13;1766;12900;5;4;1;5;2;0;1;15;36;120
"21";15;40152;8;2644;1;16;1766;16000;5;4;5;1;3;1;3;15;44;120
"22";15;40154;1;2643;1;9;1851;0;5;4;1;5;4;2;1;15;42;120
"23";15;40155;2;2644;1;9;1463;0;6;4;5;5;4;2;1;15;40;120
"24";15;40157;1;2261;1;17;5199;0;5;1;1;1;4;1;3;15;54;120
"25";15;40158;1;2281;1;17;3373;0;5;1;1;1;5;1;3;15;50;120
"26";15;40163;4;2261;1;17;1745;0;1;1;1;1;2;1;3;15;60;120
"27";15;40169;2;2272;2;15;1658;7000;6;5;1;4;4;1;3;15;56;120
"28";15;40176;3;2271;1;18;1806;0;6;4;1;1;3;1;3;15;40;120
"29";15;40181;3;2271;1;16;1886;0;3;2;1;1;4;1;3;15;40;120
"30";15;40186;3;2252;1;17;3278;0;1;4;1;5;3;0;1;15;36;120
"31";15;40215;1;2623;1;12;2355;0;5;2;1;1;5;1;3;15;48;120
"32";15;40215;3;2281;1;16;2355;0;6;4;1;1;3;1;3;15;48;120
"33";15;40219;1;2644;1;9;1489;0;5;4;5;1;5;1;3;15;40;120
"34";15;40261;3;2271;1;16;1664;16000;6;4;1;1;2;1;3;15;45;120
"35";15;40267;1;2644;1;12;2119;6450;5;1;5;1;2;1;3;15;60;120
"36";15;40271;3;2242;1;16;1900;0;6;3;1;1;2;1;4;15;48;120
"37";15;40283;5;2271;1;16;2867;14000;6;4;1;1;3;1;3;15;50;120
"38";15;40285;2;2271;2;16;1672;0;1;5;1;4;4;1;3;15;40;120
"39";15;40291;3;2640;1;16;2751;6000;6;3;5;1;2;1;3;15;54;120
"40";15;40296;1;2643;1;12;2107;0;5;4;1;1;4;1;3;15;40;120
"41";15;40296;1;2241;1;16;2107;0;5;1;1;1;5;1;3;15;50;120
"42";15;40300;4;2644;1;12;1969;0;6;1;5;5;3;2;1;15;48;120
"43";15;40305;1;1212;1;16;1448;0;1;4;3;1;4;1;3;15;55;120
"44";15;40306;3;2644;1;9;1984;0;2;1;5;5;2;0;1;15;60;120
"45";15;40311;1;1512;1;12;2017;12000;5;4;4;3;5;1;3;15;48;120
"46";15;40319;3;2272;2;16;1465;0;6;3;1;1;2;1;3;15;45;120
"47";15;40324;1;2242;1;17;1825;20000;1;4;1;2;3;0;1;15;77;120
"48";15;40324;3;1621;1;16;1825;0;1;4;4;1;4;2;1;15;40;120
"49";15;40342;1;2643;1;12;1492;22000;4;1;1;1;3;1;3;15;56;120
"50";15;40342;5;2644;1;12;1492;0;6;4;5;1;2;1;3;15;66;120
"51";15;40356;2;1212;2;16;1420;7310;6;3;3;1;2;1;3;15;42;120
"52";15;40361;3;2271;1;17;2481;5000;6;4;1;1;2;1;3;15;32;120
"53";9;40006;2;2271;1;17;966;0;6;4;1;1;2;1;3;9;32;120
"54";9;40013;1;2253;1;16;915;0;5;2;1;1;3;1;3;9;27;120
"55";9;40015;1;2271;1;17;971;0;5;4;1;1;4;1;3;9;40;120
"56";9;40024;1;2253;1;16;908;0;5;4;1;2;6;0;1;9;13;120
"57";9;40026;3;2644;1;9;864;0;6;1;5;2;3;1;4;9;0;120
"58";9;40029;1;1212;1;18;1164;0;6;4;3;1;3;1;3;9;40;120
"59";9;40029;3;2640;1;17;1164;15000;6;1;5;1;3;1;3;9;36;120
"60";9;40033;1;1212;1;16;1302;50000;5;4;3;1;4;1;3;9;28;120
"61";9;40035;3;2271;2;17;834;8500;6;4;1;1;3;1;3;9;24;120
"62";9;40037;1;2271;1;16;826;24000;5;4;1;1;3;1;3;9;32;120
"63";9;40040;1;1322;1;18;721;25000;5;4;3;1;4;1;3;9;36;120
"64";9;40049;2;1212;2;16;1051;18000;5;4;3;1;3;1;3;9;0;120
"65";9;40070;2;2271;1;18;1386;0;2;4;1;1;4;2;1;9;40;120
"66";9;40076;1;2281;1;17;2450;0;5;4;1;1;4;1;3;9;27;120
"67";9;40081;3;2640;1;14;1084;0;6;1;5;1;2;1;3;9;30;120
"68";9;40088;2;2640;2;12;937;0;6;4;5;4;3;1;3;9;32;120
"69";9;40100;1;1212;1;18;1161;0;5;4;3;1;4;1;3;9;40;120
"70";9;40108;1;2643;1;12;1355;0;5;4;1;1;4;1;3;9;40;120
"71";9;40110;1;2640;1;17;1230;0;5;1;5;1;5;1;3;9;50;120
"72";9;40112;1;1321;1;16;1110;0;5;4;3;1;3;1;3;9;50;120
"73";9;40118;1;2644;1;13;927;0;6;4;5;5;6;0;1;9;25;120
"74";9;40120;2;2253;2;17;842;8000;6;4;1;1;2;1;3;9;40;120
"75";9;40121;2;2251;1;17;880;25000;6;4;1;1;3;1;3;9;50;120
"76";9;40123;2;2242;1;17;865;0;6;4;1;5;3;0;1;9;32;120
"77";9;40125;1;2271;1;16;1164;0;5;4;1;1;4;1;3;9;40;120
"78";9;40129;3;2253;2;17;1094;0;6;4;1;1;2;1;3;9;40;120
"79";9;40129;6;2281;2;16;1094;0;6;4;1;1;2;2;2;9;48;120
"80";9;40131;2;2640;1;6;878;9600;1;4;5;2;5;1;3;9;48;120
"81";9;40131;3;2644;1;12;878;0;6;4;5;5;3;0;1;9;25;120
"82";9;40140;1;2643;1;16;1343;8000;1;4;1;1;3;1;3;9;48;120
"83";9;40142;3;2242;1;17;722;0;6;4;1;1;2;1;3;9;40;120
"84";9;40150;1;2611;1;11;854;0;5;4;1;4;6;1;3;9;45;120
"85";9;40152;1;2622;1;9;873;7310;5;1;1;1;4;1;3;9;45;120
"86";9;40153;1;1512;1;16;849;17000;5;2;4;1;3;1;3;9;45;120
