"","SEX","EDA","tdhr"
"1",1,13,1015254
"2",1,14,1947075
"3",1,15,2516004
"4",1,16,3869005
"5",1,17,5239630
"6",1,18,5913419
"7",1,19,7683848
"8",1,20,9047413
"9",1,21,9247581
"10",1,22,8606928
"11",1,23,9530452
"12",1,24,10486947
"13",1,25,10755366
"14",1,26,11309139
"15",1,27,10857784
"16",1,28,10955607
"17",1,29,11207720
"18",1,30,10273642
"19",1,31,11167748
"20",1,32,10209858
"21",1,33,10497468
"22",1,34,10802428
"23",1,35,10183190
"24",1,36,10132752
"25",1,37,10142517
"26",1,38,10103661
"27",1,39,11124278
"28",1,40,10315482
"29",1,41,11995428
"30",1,42,10107159
"31",1,43,9332116
"32",1,44,10266760
"33",1,45,8846890
"34",1,46,9668847
"35",1,47,9421890
"36",1,48,8965003
"37",1,49,9146125
"38",1,50,8721497
"39",1,51,9087643
"40",1,52,7843441
"41",1,53,7317310
"42",1,54,8144567
"43",1,55,6957792
"44",1,56,6595590
"45",1,57,6361759
"46",1,58,5972858
"47",1,59,5740464
"48",1,60,5047577
"49",1,61,5244921
"50",1,62,4293881
"51",1,63,3717621
"52",1,64,3860172
"53",1,65,3520779
"54",1,66,3804990
"55",1,67,2869901
"56",1,68,2477016
"57",1,69,2356227
"58",1,70,2257451
"59",1,71,1867488
"60",1,72,1591975
"61",1,73,1442035
"62",1,74,1402302
"63",1,75,1390322
"64",1,76,1223456
"65",1,77,1209154
"66",1,78,984217
"67",1,79,750852
"68",1,80,792330
"69",1,81,543259
"70",1,82,379465
"71",1,83,308724
"72",1,84,254980
"73",1,85,316255
"74",1,86,191880
"75",1,87,147576
"76",1,88,112996
"77",1,89,123529
"78",1,90,95537
"79",1,91,53854
"80",1,92,98266
"81",1,93,14872
"82",1,94,22491
"83",1,95,14855
"84",1,96,6155
"85",1,97,8732
"86",1,98,15168
"87",1,99,249835
"88",2,13,182602
"89",2,14,253174
"90",2,15,459366
"91",2,16,664663
"92",2,17,985022
"93",2,18,1198737
"94",2,19,1893304
"95",2,20,2417326
"96",2,21,2911956
"97",2,22,3219398
"98",2,23,3773930
"99",2,24,4139382
"100",2,25,4914466
"101",2,26,4980598
"102",2,27,4844923
"103",2,28,4672802
"104",2,29,4825669
"105",2,30,4402365
"106",2,31,4507197
"107",2,32,4799250
"108",2,33,4698407
"109",2,34,4329025
"110",2,35,4193269
"111",2,36,4327612
"112",2,37,4483342
"113",2,38,4484224
"114",2,39,4245079
"115",2,40,4516009
"116",2,41,4847367
"117",2,42,4107757
"118",2,43,3832681
"119",2,44,4068912
"120",2,45,3463087
"121",2,46,3875966
"122",2,47,3669505
"123",2,48,3354463
"124",2,49,3271045
"125",2,50,2817107
"126",2,51,3687014
"127",2,52,2921705
"128",2,53,2390667
"129",2,54,2453361
"130",2,55,2086111
"131",2,56,2164201
"132",2,57,1873078
"133",2,58,1567974
"134",2,59,1494997
"135",2,60,1399283
"136",2,61,1272045
"137",2,62,946326
"138",2,63,836170
"139",2,64,862801
"140",2,65,685702
"141",2,66,692746
"142",2,67,1059532
"143",2,68,501109
"144",2,69,421152
"145",2,70,342765
"146",2,71,321321
"147",2,72,421242
"148",2,73,257470
"149",2,74,232179
"150",2,75,205308
"151",2,76,252042
"152",2,77,155925
"153",2,78,122905
"154",2,79,119892
"155",2,80,81502
"156",2,81,85081
"157",2,82,58842
"158",2,83,47445
"159",2,84,33807
"160",2,85,38379
"161",2,86,31466
"162",2,87,20773
"163",2,88,22783
"164",2,89,22091
"165",2,90,14344
"166",2,91,5096
"167",2,92,7197
"168",2,93,3749
"169",2,94,1056
"170",2,95,1874
"171",2,96,1366
"172",2,97,825
"173",2,98,1466
"174",2,99,89357
